"filename", "language", "D", "C++", "C", "Markdown", "YAML", "XML", "Shell Script", "Python", "JSON", "Objective-C", "Properties", "comment", "blank", "total"
"/home/roman/X11F/source/Xext/securitysrv.d", "D", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 68
"/home/roman/X11F/source/Xext/shape.d", "D", 819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 118, 1005
"/home/roman/X11F/source/Xext/shm.d", "D", 1159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 178, 1402
"/home/roman/X11F/source/Xext/shm_priv.d", "D", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 32
"/home/roman/X11F/source/Xext/sleepuntil.d", "D", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 27, 191
"/home/roman/X11F/source/Xext/sync.d", "D", 1637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 420, 2467
"/home/roman/X11F/source/Xext/syncsrv.d", "D", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 25, 147
"/home/roman/X11F/source/Xext/xace.d", "D", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 26, 210
"/home/roman/X11F/source/Xext/xacestr.d", "D", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 83
"/home/roman/X11F/source/Xext/xcmisc.d", "D", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 25, 137
"/home/roman/X11F/source/Xext/xf86bigfont.d", "D", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 98, 756
"/home/roman/X11F/source/Xext/xf86bigfontsrv.d", "D", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 35
"/home/roman/X11F/source/Xext/xres.d", "D", 559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 127, 874
"/home/roman/X11F/source/Xext/xselinux.d", "D", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 16, 151
